Accident ID ,Type,Date,Speed,P Minor Injuries,P Serious Injuries,P Death Injuries,P Moderate Injuries,Road Lane,Road Surface, Vehicle Nationality,Class of License,Road Type,Lighting,Weather,Road Characteristics,Driver Fault,Governorate,Vehicle Category,Date of Accident,Number of Vehicles,Age of Driver, Gender
2011211,صدم,4/21/2019 13:02,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة,إسفلتي,نهار,مطر,مستقيم مستوي,مخالفة قواعد وأولويات المرور,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/21/2019 13:02,2,30,ذكر
2011211,صدم,4/21/2019 13:02,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة,إسفلتي,نهار,مطر,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/21/2019 13:02,2,44,ذكر
2012562,صدم,4/22/2019 9:33,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/22/2019 9:33,2,35,ذكر
2012562,صدم,4/22/2019 9:33,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/22/2019 9:33,2,62,ذكر
2012783,صدم,4/22/2019 17:01,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة اتوماتيك,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/22/2019 17:01,2,20,ذكر
2012783,صدم,4/22/2019 17:01,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة اتوماتيك,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/22/2019 17:01,2,41,ذكر
2012965,صدم,4/23/2019 7:16,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/23/2019 7:16,2,49,انثى
2012965,صدم,4/23/2019 7:16,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,مخالفات قواعد واولويات المرور,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/23/2019 7:16,2,46,ذكر
2015897,صدم,4/27/2019 8:20,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,تغير سائق المركبة المسرب بشكل مفاجئ,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/27/2019 8:20,2,,
2015897,صدم,4/27/2019 8:20,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,4/27/2019 8:20,2,24,ذكر
